Title:,"DFID's aid spending for nutrition, 2010-2013",,,,,,,,,,,,,
Source:,Development Initiatives based on OECD CRS data,,,,,,,,,,,,,
Note:,US$ millions in 2013 prices. Based on ODA disbursements. Nutrition-specific and nutrition-sensitive definitions from SUN Donor Network tracking methodology.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,2010,2011,2012,2013,,,,,,,,,,
Nutrition-specific,40,45,64,105,,,,,,,,,,
Nutrition-sensitive,303,406,418,735,,,,,,,,,,
Total,343,452,482,840,,,,,,,,,,
