Title: ,Donors pledge US$529m at South Sudan conference - US$1.2bn of requirements unmet,,,,,
Sources: ,Data downloaded from United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA) Financial Tracking Service on 4 February 2015. Figures on 2015 pledges from UN OCHA communiqué.,,,,,
,,,,,,
,,,,,,
Notes:,"The May-December commitments are calculated subtracting contributions made prior to the 2014 conference, through the conference and the unmet needs amount from the total requested through the UN appeals that year.",,,,,
,,,,,,
,,,,,,
,The figure of 1.2bn unmet needs in 2015 assumes that all pledges will be committed against. As of 11 February 2015 it is not mentioned whether pledges for the RRP are included.,,,,,
Data extracted:,see above,,,,,
,,,,,,
,,,,,,
,Requested (US$m),Committed before conference,Conference pledges,Unmet needs,Commited May-Dec 2014,
Crisis Response Plan 2014,1.80,0.73,0.48,0.40,0.19,
Strategic Response Plan 2015,1.81,0.03,0.53,1.24,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
