Title:,Ukraine is humanitarian priority for Central and Eastern European donors,,,,,,,,,,
Source:,Development Initiatives based on UN OCHA FTS,,,,,,,,,,
Notes:,,,,,,,,,,,
Data extracted:,06-Mar-15,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Donor,Destination Country,Total,US$ millions,,,,,,,,
,,,,,,,,,,,
Czech Republic,Jordan,153253600.0%,1.532536,,,,,,,,
,Philippines,57528900.0%,0.575289,,,,,,,,
,Ukraine,53465700.0%,0.534657,,,,,,,,
Estonia,Ukraine,677153,0.677153,,,,,,,,
,Philippines,647633,0.647633,,,,,,,,
,Iraq,341293,0.341293,,,,,,,,
Poland,Ukraine,2320320,2.32032,,,,,,,,
,Lebanon,1025293,1.025293,,,,,,,,
,Syria,271234,0.271234,,,,,,,,
Hungary,Philippines,207177,0.207177,,,,,,,,
,Iraq,146153,0.146153,,,,,,,,
,Ukraine,145759,0.145759,,,,,,,,
Lithuania,Ukraine,262949,0.262949,,,,,,,,
,Syria,64587,0.064587,,,,,,,,
,oPt,40107,0.040107,,,,,,,,
Latvia,Ukraine,288389,0.288389,,,,,,,,
,oPt,65876,0.065876,,,,,,,,
,Iraq,63532,0.063532,,,,,,,,
,,,,,,,,,,,
