"Title: Bilateral climate-related ODA from DAC donors, 2011-2013 (current prices)",,,,,,,
Source: Development Initiatives based on OECD DAC CRS,,,,,,,
,,,,,,,
,,Significant,Principal,,,,
2011,Adaptation,16.5,0.1,,,,
,Mitigation,7.6,3.8,,,,
,,,,,,,
2012,Adaptation,80.0,5.2,,,,
,Mitigation,14.8,1.1,,,,
,,,,,,,
2013,Adaptation,8.8,2.1,,,,
,Mitigation,3.4,1.9,,,,
